recipient_ein,name1,name2,address1,address2,city,state,zip,evidence_url,added_by,added_date,note
134141945,MICHAEL J FOX FOUNDATION FOR PARKINSON'S RESEARCH,,111 W33RD STREET 10TH FLOOR,,NEW YORK,NY,10001,https://projects.propublica.org/nonprofits/organizations/134141945,zein,2026-07-29,"Suffix variant of MJFF's filed name (files as MICHAEL J FOX FOUNDATION), sighted verbatim in Sergey Brin Family Foundation grant rows ($211M / 8 rows) at MJFF's W 33rd St street address. The documented survivor of the exact-name+state tier: JW 0.90 normalized, cross-zip. See docs/corrections-plan.md."
134141945,MICHAEL J FOX FOUNDATION FOR PARKINSON'S RESEARCH,,PO BOX 5014,,HAGERSTOWN,MD,21741,https://projects.propublica.org/nonprofits/organizations/134141945,zein,2026-07-29,"Same Brin sighting at MJFF's out-of-state donation lockbox in Hagerstown MD ($186M / 2 rows). Out of state relative to MJFF's NY filing, so the exact-name+state tier can never reach it; this row carries the lockbox zip so blocking pairs it directly."
131623829,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS DBA ASPCA,,520 EIGHTH AVENUE 7TH FLOOR,,NEW YORK,NY,10018,https://projects.propublica.org/nonprofits/organizations/131623829,zein,2026-08-03,HQ; DBA-suffixed name variant
131623829,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,PO BOX 96929,,WASHINGTON,DC,200906929,https://projects.propublica.org/nonprofits/organizations/131623829,zein,2026-08-03,DC donation lockbox
131788491,AMERICAN CANCER SOCIETY,,250 WILLIAMS STREET NW,,ATLANTA,GA,303031032,https://projects.propublica.org/nonprofits/organizations/131788491,zein,2026-08-03,"HQ; 1,655 unmatched rows at this tuple"
131788491,AMERICAN CANCER SOCIETY,,950 BLUE GENTIAN ROAD STE 100,,EAGAN,MN,55121,https://projects.propublica.org/nonprofits/organizations/131788491,zein,2026-08-03,Eagan MN processing center
131818723,ANTI-DEFAMATION LEAGUE,,40 COURT STREET,,BOSTON,MA,21082202,https://projects.propublica.org/nonprofits/organizations/131818723,zein,2026-08-03,Boston regional office
131818723,ANTI-DEFAMATION LEAGUE,,10495 SANTA MONICA BLVD,,LOS ANGELES,CA,900255031,https://projects.propublica.org/nonprofits/organizations/131818723,zein,2026-08-03,LA regional office
132578670,SPONSORS FOR EDUCATIONAL OPPORTUNITY,,55 EXCHANGE PLACE SUITE 601,,NEW YORK,NY,100053301,https://projects.propublica.org/nonprofits/organizations/132578670,zein,2026-08-03,HQ; filed name glues 'opportunityinc'
133030229,LOCAL INITIATIVES SUPPORT CORP,,28 LIBERTY STREET,,NEW YORK,NY,10005,https://projects.propublica.org/nonprofits/organizations/133030229,zein,2026-08-03,short-form name at current HQ
